industry_code,naics,industry_name
60562200,5622,Waste treatment and disposal
60562900,5629,Remediation and other waste management services
65611100,6111,Private elementary and secondary schools
65611400,6114,Private business schools and computer and management training
65611500,6115,Private technical and trade schools
65611600,6116,Other private schools and instruction
65611700,6117,Private educational support services
65621000,621,Ambulatory health care services
65621100,6211,Offices of physicians
65621200,6212,Offices of dentists
65621300,6213,Offices of other health practitioners
65621400,6214,Outpatient care centers
65621500,6215,Medical and diagnostic laboratories
65621600,6216,Home health care services
65621900,6219,Other ambulatory health care services
65622000,622,Hospitals
65622100,6221,General medical and surgical hospitals
65622200,6222,Psychiatric and substance abuse hospitals
65622300,6223,"Specialty, except psychiatric and substance abuse, hospitals"
65623000,623,Nursing and residential care facilities
65623100,6231,Skilled nursing care facilities
65623200,6232,"Residential intellectual and developmental disability, mental health, and substance abuse facilities"
65623300,6233,Continuing care retirement communities and assisted living facilities for the elderly
65623900,6239,Other residential care facilities
65624000,624,Social assistance
65624100,6241,Individual and family services
65624200,6242,"Community food and housing, and emergency and other relief services"
65624300,6243,Vocational rehabilitation services
65624400,6244,Child care services
70711000,711,"Performing arts, spectator sports, and related industries"
70711100,7111,Performing arts companies
70711200,7112,Spectator sports
70711500,7115,"Independent artists, writers, and performers"
70712000,712,"Museums, historical sites, and similar institutions"
70713000,713,"Amusement, gambling, and recreation industries"
70713100,7131,Amusement parks and arcades
70713200,7132,Gambling industries
70713900,7139,Other amusement and recreation industries
70721000,721,Accommodation
70721100,7211,Traveler accommodation
70721200,7212,Recreational vehicle (RV) parks and recreational camps
70722000,722,Food services and drinking places
70722300,7223,Special food services
70722400,7224,"Drinking places, alcoholic beverages"
70722500,7225,Restaurants and other eating places
80811000,811,Repair and maintenance
80811100,8111,Automotive repair and maintenance
80811200,8112,Electronic and precision equipment repair and maintenance
80811300,8113,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance
80811400,8114,Personal and household goods repair and maintenance
80812000,812,Personal and laundry services
80812100,8121,Personal care services
80812200,8122,Death care services
80812300,8123,Drycleaning and laundry services
80812900,8129,Other personal services
80813000,813,"Religious, grantmaking, civic, professional, and similar organizations"
80813200,8132,Grantmaking and giving services
80813300,8133,Social advocacy organizations
80813400,8134,Civic and social organizations
80813900,8139,"Business, professional, labor, political, and similar organizations"
90911000,-,"Federal, except U.S. Postal Service"
90916220,-,Federal hospitals
90919110,-,Department of Defense
90919120,-,U.S. Postal Service
90919999,-,Other Federal government
90921611,-,State government education
