naics,aiie,industry_code,industry_name,series_id_emp
5241,2.058794,55524100,Insurance carriers,CES5552410001
5242,2.120996,55524200,"Agencies, brokerages, and other insurance related activities",CES5552420001
531,0.5238351,55531000,Real estate,CES5553100001
5321,-0.1278947,55532100,Automotive equipment rental and leasing,CES5553210001
5322,-0.2705971,55532200,Consumer goods rental,CES5553220001
5323,-0.2705971,55532300,General rental centers,CES5553230001
5324,-0.2705971,55532400,Commercial and industrial machinery and equipment rental and leasing,CES5553240001
5411,2.156741,60541100,Legal services,CES6054110001
5412,2.215628,60541200,"Accounting, tax preparation, bookkeeping, and payroll services",CES6054120001
5413,1.492814,60541300,"Architectural, engineering, and related services",CES6054130001
5414,1.280983,60541400,Specialized design services,CES6054140001
5415,1.860226,60541500,Computer systems design and related services,CES6054150001
5416,1.8047,60541600,"Management, scientific, and technical consulting services",CES6054160001
5417,1.635407,60541700,Scientific research and development services,CES6054170001
5418,1.305607,60541800,"Advertising, public relations, and related services",CES6054180001
5419,0.6022445,60541900,"Other professional, scientific, and technical services",CES6054190001
5611,1.753769,60561100,Office administrative services,CES6056110001
5612,-1.008228,60561200,Facilities support services,CES6056120001
5613,-0.7234654,60561300,Employment services,CES6056130001
5614,1.704965,60561400,Business support services,CES6056140001
5615,1.68347,60561500,Travel arrangement and reservation services,CES6056150001
5616,-0.3442498,60561600,Investigation and security services,CES6056160001
5617,-1.998597,60561700,Services to buildings and dwellings,CES6056170001
5619,-0.4762704,60561900,Other support services,CES6056190001
5621,-1.332496,60562100,Waste collection,CES6056210001
5622,-0.7965308,60562200,Waste treatment and disposal,CES6056220001
5629,-0.7835333,60562900,Remediation and other waste management services,CES6056290001
6111,1.315956,65611100,Private elementary and secondary schools,CES6561110001
6114,1.741192,65611400,Private business schools and computer and management training,CES6561140001
6115,0.947026,65611500,Private technical and trade schools,CES6561150001
6116,0.6729133,65611600,Other private schools and instruction,CES6561160001
6117,1.605398,65611700,Private educational support services,CES6561170001
6211,1.009907,65621100,Offices of physicians,CES6562110001
6212,0.4154884,65621200,Offices of dentists,CES6562120001
6213,0.7008373,65621300,Offices of other health practitioners,CES6562130001
6214,0.9686477,65621400,Outpatient care centers,CES6562140001
6215,0.6741955,65621500,Medical and diagnostic laboratories,CES6562150001
6216,0.6927072,65621600,Home health care services,CES6562160001
6219,0.7869348,65621900,Other ambulatory health care services,CES6562190001
6221,0.5274962,65622100,General medical and surgical hospitals,CES6562210001
6222,0.5211326,65622200,Psychiatric and substance abuse hospitals,CES6562220001
6223,0.5900623,65622300,"Specialty, except psychiatric and substance abuse, hospitals",CES6562230001
6231,-0.2430007,65623100,Skilled nursing care facilities,CES6562310001
6232,0.8572415,65623200,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",CES6562320001
6233,-0.4843864,65623300,Continuing care retirement communities and assisted living facilities for the elderly,CES6562330001
6239,0.7190148,65623900,Other residential care facilities,CES6562390001
6241,1.163092,65624100,Individual and family services,CES6562410001
6242,0.8514432,65624200,"Community food and housing, and emergency and other relief services",CES6562420001
6243,0.2863293,65624300,Vocational rehabilitation services,CES6562430001
6244,0.0572718,65624400,Child care services,CES6562440001
7111,0.1677087,70711100,Performing arts companies,CES7071110001
7112,-0.2576417,70711200,Spectator sports,CES7071120001
