naics,industry_title,aiie,industry_code,naics_code,industry_name
3366.0,Ship and Boat Building,-0.6675431,31336600.0,3366.0,Ship and boat building
3369.0,Other Transportation Equipment Manufacturing,-0.1676746,,,
3370.0,Furniture and Related Product Manufacturing (3371 and 3372 only),-1.000794,,,
,,,31337100.0,3371.0,Household and institutional furniture and kitchen cabinet manufacturing
,,,31337200.0,3372.0,Office furniture (including fixtures) and other furniture related product manufacturing
3379.0,Other Furniture Related Product Manufacturing,-0.5724769,,,
3391.0,Medical Equipment and Supplies Manufacturing,0.2301883,31339100.0,3391.0,Medical equipment and supplies manufacturing
3399.0,Other Miscellaneous Manufacturing,-0.068744,31339900.0,3399.0,Other miscellaneous manufacturing
4230.0,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.2424777,,,
4231.0,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,-0.1601646,41423100.0,4231.0,Motor vehicle and motor vehicle parts and supplies merchant wholesalers
,,,41423200.0,4232.0,Furniture and home furnishing merchant wholesalers
,,,41423300.0,4233.0,Lumber and other construction materials merchant wholesalers
4234.0,Professional and Commercial Equipment and Supplies Merchant Wholesalers,1.041147,41423400.0,4234.0,Professional and commercial equipment and supplies merchant wholesalers
,,,41423500.0,4235.0,Metal and mineral (except petroleum) merchant wholesalers
,,,41423600.0,4236.0,Household appliances and electrical and electronic goods merchant wholesalers
,,,41423700.0,4237.0,"Hardware, and plumbing and heating equipment and supplies merchant wholesalers"
4238.0,"Machinery, Equipment, and Supplies Merchant Wholesalers",0.2607571,41423800.0,4238.0,"Machinery, equipment, and supplies merchant wholesalers"
,,,41423900.0,4239.0,Miscellaneous durable goods merchant wholesalers
4240.0,"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)",-0.358483,,,
4240.0,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.6838242,,,
4240.0,"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)",-0.0027297,,,
,,,41424100.0,4241.0,Paper and paper product merchant wholesalers
,,,41424200.0,4242.0,Drugs and druggists' sundries merchant wholesalers
4243.0,"Apparel, Piece Goods, and Notions Merchant Wholesalers",0.6573116,41424300.0,4243.0,"Apparel, piece goods, and notions merchant wholesalers"
,,,41424400.0,4244.0,Grocery and related product merchant wholesalers
4245.0,Farm Product Raw Material Merchant Wholesalers,-0.7109669,41424500.0,4245.0,Farm product raw material merchant wholesalers
,,,41424600.0,4246.0,Chemical and allied products merchant wholesalers
,,,41424700.0,4247.0,Petroleum and petroleum products merchant wholesalers
,,,41424800.0,4248.0,"Beer, wine, and distilled alcoholic beverage merchant wholesalers"
,,,41424900.0,4249.0,Miscellaneous nondurable goods merchant wholesalers
4251.0,Wholesale Electronic Markets and Agents and Brokers,0.9876717,,,
4411.0,Automobile Dealers,-0.1668894,42441100.0,4411.0,Automobile dealers
4412.0,Other Motor Vehicle Dealers,-0.1300993,42441200.0,4412.0,Other motor vehicle dealers
4413.0,"Automotive Parts, Accessories, and Tire Stores",-0.6871853,42441300.0,4413.0,"Automotive parts, accessories, and tire retailers"
4421.0,Furniture Stores,-0.0112289,,,
4422.0,Home Furnishings Stores,0.049807,,,
4431.0,Electronics and Appliance Stores,0.3619018,,,
4441.0,Building Material and Supplies Dealers,0.1045359,42444100.0,4441.0,Building material and supplies dealers
4442.0,Lawn and Garden Equipment and Supplies Stores,-0.4641636,42444200.0,4442.0,Lawn and garden equipment and supplies retailers
4450.0,Food and Beverage Stores (4451 and 4452 only),-0.4066956,,,
,,,42445100.0,4451.0,Grocery and convenience retailers
,,,42445200.0,4452.0,Specialty food retailers
4453.0,"Beer, Wine, and Liquor Stores",-0.0185797,42445300.0,4453.0,"Beer, wine, and liquor retailers"
4461.0,Health and Personal Care Stores,0.3257251,,,
4471.0,Gasoline Stations,-0.3108229,,,
4481.0,Clothing Stores,0.2268381,,,
4482.0,Shoe Stores,0.2810808,,,
4483.0,"Jewelry, Luggage, and Leather Goods Stores",0.3828857,,,
,,,42449100.0,4491.0,Furniture and home furnishings retailers
,,,42449200.0,4492.0,Electronics and appliance retailers
4511.0,"Sporting Goods, Hobby, and Musical Instrument Stores",0.2090943,,,
4512.0,Book Stores and News Dealers,0.2499871,,,
4520.0,General Merchandise Stores,-0.007219,,,
4530.0,Miscellaneous Store Retailers (4532 and 4533 only),0.1663383,,,
4531.0,Florists,-0.3690017,,,
4539.0,Other Miscellaneous Store Retailers,0.00781,,,
4541.0,Electronic Shopping and Mail-Order Houses,0.6046838,,,
4542.0,Vending Machine Operators,-0.6646855,,,
4543.0,Direct Selling Establishments,-0.0433316,,,
,,,42455100.0,4551.0,Department stores
,,,42455200.0,4552.0,"Warehouse clubs, supercenters, and other general merchandise retailers"
,,,42457100.0,4571.0,Gasoline stations
,,,42457200.0,4572.0,Fuel dealers
,,,42458100.0,4581.0,Clothing and clothing accessories retailers
,,,42458200.0,4582.0,Shoe retailers
,,,42458300.0,4583.0,"Jewelry, luggage, and leather goods retailers"
,,,42459100.0,4591.0,"Sporting goods, hobby, and musical instrument retailers"
,,,42459200.0,4592.0,Book retailers and news dealers
,,,42459300.0,4593.0,Florists
,,,42459400.0,4594.0,"Office supplies, stationery, and gift retailers"
,,,42459500.0,4595.0,Used merchandise retailers
,,,42459900.0,4599.0,Other miscellaneous retailers
4811.0,Scheduled Air Transportation,-0.4555449,43481100.0,4811.0,Scheduled air transportation
4812.0,Nonscheduled Air Transportation,0.1134526,43481200.0,4812.0,Nonscheduled air transportation
4821.0,Rail Transportation,-0.5922358,,,
4831.0,"Deep Sea, Coastal, and Great Lakes Water Transportation",-0.3280049,,,
4832.0,Inland Water Transportation,-0.8718479,,,
4840.0,Truck Transportation,-1.282191,,,
,,,43484100.0,4841.0,General freight trucking
,,,43484200.0,4842.0,Specialized freight trucking
4851.0,Urban Transit Systems,-0.1201694,,,
4852.0,Interurban and Rural Bus Transportation,-0.0462207,,,
4853.0,Taxi and Limousine Service,1.369857,43485300.0,4853.0,Taxi and limousine service
4854.0,School and Employee Bus Transportation,0.076602,43485400.0,4854.0,School and employee bus transportation
4855.0,Charter Bus Industry,0.0093568,,,
4859.0,Other Transit and Ground Passenger Transportation,0.9623069,43485900.0,4859.0,Other transit and ground passenger transportation
4861.0,Pipeline Transportation of Crude Oil,-0.1340503,,,
4862.0,Pipeline Transportation of Natural Gas,-0.0901119,,,
4869.0,Other Pipeline Transportation,-0.0393555,,,
